run,type,slice,n,cos,nmse
parabola_s3072_af_fr,步长,h=16,100,0.4718,1.2719
parabola_s3072_af_fr,步长,h=28,100,0.8136,7730644.0
parabola_s3072_af_fr_cal_a000,分区,ID,464,0.8648,0.2339
parabola_s3072_af_fr_cal_a000,分区,r/m-OOD,319,0.816,0.4611
parabola_s3072_af_fr_cal_a000,分区,v-OOD,928,0.5951,0.8812
parabola_s3072_af_fr_cal_a000,分区,both-OOD,1189,0.547,1.1452
parabola_s3072_af_fr_cal_a000,步长,h=1,100,0.979,0.0397
parabola_s3072_af_fr_cal_a000,步长,h=2,100,0.9589,0.0834
parabola_s3072_af_fr_cal_a000,步长,h=4,100,0.9096,0.2019
parabola_s3072_af_fr_cal_a000,步长,h=8,100,0.7921,0.4763
parabola_s3072_af_fr_cal_a000,步长,h=16,100,0.4718,1.2719
parabola_s3072_af_fr_cal_a000,步长,h=28,100,0.8136,7730644.0
parabola_s3072_af_fr_gate_t3,分区,ID,464,0.8402,0.3003
parabola_s3072_af_fr_gate_t3,分区,r/m-OOD,319,0.7931,0.5169
parabola_s3072_af_fr_gate_t3,分区,v-OOD,928,0.5944,0.8935
parabola_s3072_af_fr_gate_t3,分区,both-OOD,1189,0.5475,1.149
parabola_s3072_af_fr_gate_t3,步长,h=1,100,0.9772,0.0438
parabola_s3072_af_fr_gate_t3,步长,h=2,100,0.9554,0.0911
parabola_s3072_af_fr_gate_t3,步长,h=4,100,0.9036,0.2139
parabola_s3072_af_fr_gate_t3,步长,h=8,100,0.7806,0.5006
parabola_s3072_af_fr_gate_t3,步长,h=16,100,0.4601,1.3117
parabola_s3072_af_fr_gate_t3,步长,h=28,100,0.8179,7585476.5
parabola_s3072_af_fr_zs_a025,分区,ID,464,0.8361,0.2839
parabola_s3072_af_fr_zs_a025,分区,r/m-OOD,319,0.7091,0.5959
parabola_s3072_af_fr_zs_a025,分区,v-OOD,928,0.5705,0.9567
parabola_s3072_af_fr_zs_a025,分区,both-OOD,1189,0.509,1.2817
parabola_s3072_af_fr_zs_a025,步长,h=1,100,0.9781,0.0414
parabola_s3072_af_fr_zs_a025,步长,h=2,100,0.9552,0.0896
parabola_s3072_af_fr_zs_a025,步长,h=4,100,0.8915,0.2334
parabola_s3072_af_fr_zs_a025,步长,h=8,100,0.7414,0.5884
parabola_s3072_af_fr_zs_a025,步长,h=16,100,0.4281,1.4314
parabola_s3072_af_fr_zs_a025,步长,h=28,100,0.7477,8921590.0
parabola_s3072_af_fr_zs_a050,分区,ID,464,0.7306,0.4632
parabola_s3072_af_fr_zs_a050,分区,r/m-OOD,319,0.5688,0.9067
parabola_s3072_af_fr_zs_a050,分区,v-OOD,928,0.4908,1.1609
parabola_s3072_af_fr_zs_a050,分区,both-OOD,1189,0.4169,1.5611
parabola_s3072_af_fr_zs_a050,步长,h=1,100,0.9746,0.0484
parabola_s3072_af_fr_zs_a050,步长,h=2,100,0.9459,0.1063
parabola_s3072_af_fr_zs_a050,步长,h=4,100,0.857,0.2979
parabola_s3072_af_fr_zs_a050,步长,h=8,100,0.6613,0.778
parabola_s3072_af_fr_zs_a050,步长,h=16,100,0.3506,1.6854
parabola_s3072_af_fr_zs_a050,步长,h=28,100,0.5289,36558624.0
parabola_s3072_af_fr_zs_a100,分区,ID,464,0.4847,1.6684
parabola_s3072_af_fr_zs_a100,分区,r/m-OOD,319,0.2727,2.7831
