run,type,slice,n,cos,nmse
uniform_motion_s3072_af_fr_shadow075_e5,步长,h=2,100,0.981,0.0465
uniform_motion_s3072_af_fr_shadow075_e5,步长,h=4,100,0.9581,0.1038
uniform_motion_s3072_af_fr_shadow075_e5,步长,h=8,100,0.8976,0.243
uniform_motion_s3072_af_fr_shadow075_e5,步长,h=16,100,0.6007,0.8897
uniform_motion_s3072_af_fr_shadow075_e5,步长,h=28,100,0.2629,1.6722
uniform_motion_s3072_af_fr_shadow_a050,分区,ID,406,0.9392,0.1158
uniform_motion_s3072_af_fr_shadow_a050,分区,r/m-OOD,464,0.8183,0.4259
uniform_motion_s3072_af_fr_shadow_a050,分区,v-OOD,841,0.5676,0.7583
uniform_motion_s3072_af_fr_shadow_a050,分区,both-OOD,1189,0.6469,0.7097
uniform_motion_s3072_af_fr_shadow_a050,步长,h=1,100,0.9928,0.0144
uniform_motion_s3072_af_fr_shadow_a050,步长,h=2,100,0.9887,0.0251
uniform_motion_s3072_af_fr_shadow_a050,步长,h=4,100,0.9767,0.0517
uniform_motion_s3072_af_fr_shadow_a050,步长,h=8,100,0.9415,0.1308
uniform_motion_s3072_af_fr_shadow_a050,步长,h=16,100,0.6936,0.6127
uniform_motion_s3072_af_fr_shadow_a050,步长,h=28,100,0.3254,1.5889
uniform_motion_s3072_af_fr_shadow_a065,分区,ID,406,0.9367,0.1179
uniform_motion_s3072_af_fr_shadow_a065,分区,r/m-OOD,464,0.8156,0.4219
uniform_motion_s3072_af_fr_shadow_a065,分区,v-OOD,841,0.5769,0.729
uniform_motion_s3072_af_fr_shadow_a065,分区,both-OOD,1189,0.6525,0.6819
uniform_motion_s3072_af_fr_shadow_a065,步长,h=1,100,0.9928,0.0144
uniform_motion_s3072_af_fr_shadow_a065,步长,h=2,100,0.9882,0.0261
uniform_motion_s3072_af_fr_shadow_a065,步长,h=4,100,0.9756,0.0543
uniform_motion_s3072_af_fr_shadow_a065,步长,h=8,100,0.9401,0.1342
uniform_motion_s3072_af_fr_shadow_a065,步长,h=16,100,0.6987,0.5865
uniform_motion_s3072_af_fr_shadow_a065,步长,h=28,100,0.331,1.5484
uniform_motion_s3072_af_fr_shadow_a075,分区,ID,406,0.9334,0.1227
uniform_motion_s3072_af_fr_shadow_a075,分区,r/m-OOD,464,0.8126,0.4202
uniform_motion_s3072_af_fr_shadow_a075,分区,v-OOD,841,0.5862,0.699
uniform_motion_s3072_af_fr_shadow_a075,分区,both-OOD,1189,0.6565,0.6578
uniform_motion_s3072_af_fr_shadow_a075,步长,h=1,100,0.9928,0.0144
uniform_motion_s3072_af_fr_shadow_a075,步长,h=2,100,0.9879,0.0269
uniform_motion_s3072_af_fr_shadow_a075,步长,h=4,100,0.9746,0.057
uniform_motion_s3072_af_fr_shadow_a075,步长,h=8,100,0.9384,0.1387
uniform_motion_s3072_af_fr_shadow_a075,步长,h=16,100,0.7032,0.5651
uniform_motion_s3072_af_fr_shadow_a075,步长,h=28,100,0.3398,1.4962
uniform_motion_s3072_af_fr_shadow_a100,分区,ID,406,0.8786,0.2293
uniform_motion_s3072_af_fr_shadow_a100,分区,r/m-OOD,464,0.7764,0.5089
uniform_motion_s3072_af_fr_shadow_a100,分区,v-OOD,841,0.6046,0.592
uniform_motion_s3072_af_fr_shadow_a100,分区,both-OOD,1189,0.6496,0.6049
uniform_motion_s3072_af_fr_shadow_a100,步长,h=1,100,0.9928,0.0144
uniform_motion_s3072_af_fr_shadow_a100,步长,h=2,100,0.9868,0.0293
uniform_motion_s3072_af_fr_shadow_a100,步长,h=4,100,0.9698,0.0686
uniform_motion_s3072_af_fr_shadow_a100,步长,h=8,100,0.9269,0.1697
uniform_motion_s3072_af_fr_shadow_a100,步长,h=16,100,0.6897,0.5398
uniform_motion_s3072_af_fr_shadow_a100,步长,h=28,100,0.3261,1.4038
uniform_motion_s3072_af_fr_zs_a025,分区,ID,406,0.9406,0.1166
uniform_motion_s3072_af_fr_zs_a025,分区,r/m-OOD,464,0.8203,0.4313
uniform_motion_s3072_af_fr_zs_a025,分区,v-OOD,841,0.5584,0.7833
uniform_motion_s3072_af_fr_zs_a025,分区,both-OOD,1189,0.6398,0.7396
uniform_motion_s3072_af_fr_zs_a025,步长,h=1,100,0.9926,0.0148
uniform_motion_s3072_af_fr_zs_a025,步长,h=2,100,0.9891,0.0242
uniform_motion_s3072_af_fr_zs_a025,步长,h=4,100,0.9774,0.0498
uniform_motion_s3072_af_fr_zs_a025,步长,h=8,100,0.9423,0.13
uniform_motion_s3072_af_fr_zs_a025,步长,h=16,100,0.6893,0.6444
uniform_motion_s3072_af_fr_zs_a025,步长,h=28,100,0.3173,1.6036
uniform_motion_s3072_af_fr_zs_a050,分区,ID,406,0.9388,0.1163
uniform_motion_s3072_af_fr_zs_a050,分区,r/m-OOD,464,0.8178,0.4265
uniform_motion_s3072_af_fr_zs_a050,分区,v-OOD,841,0.5673,0.7582
uniform_motion_s3072_af_fr_zs_a050,分区,both-OOD,1189,0.6465,0.7095
uniform_motion_s3072_af_fr_zs_a050,步长,h=1,100,0.992,0.016
uniform_motion_s3072_af_fr_zs_a050,步长,h=2,100,0.9882,0.026
uniform_motion_s3072_af_fr_zs_a050,步长,h=4,100,0.9765,0.052
uniform_motion_s3072_af_fr_zs_a050,步长,h=8,100,0.9415,0.1309
uniform_motion_s3072_af_fr_zs_a050,步长,h=16,100,0.694,0.612
uniform_motion_s3072_af_fr_zs_a050,步长,h=28,100,0.3225,1.591
uniform_motion_s3072_af_fr_zs_a100,分区,ID,406,0.8752,0.234
uniform_motion_s3072_af_fr_zs_a100,分区,r/m-OOD,464,0.7709,0.5204
uniform_motion_s3072_af_fr_zs_a100,分区,v-OOD,841,0.5989,0.5999
uniform_motion_s3072_af_fr_zs_a100,分区,both-OOD,1189,0.6434,0.6134
uniform_motion_s3072_af_fr_zs_a100,步长,h=1,100,0.9896,0.021
uniform_motion_s3072_af_fr_zs_a100,步长,h=2,100,0.9833,0.0365
uniform_motion_s3072_af_fr_zs_a100,步长,h=4,100,0.9672,0.0737
uniform_motion_s3072_af_fr_zs_a100,步长,h=8,100,0.9251,0.1724
uniform_motion_s3072_af_fr_zs_a100,步长,h=16,100,0.6861,0.5453
uniform_motion_s3072_af_fr_zs_a100,步长,h=28,100,0.3105,1.4305
uniform_motion_s42_af_fr,分区,ID,406,0.9095,0.1656
uniform_motion_s42_af_fr,分区,r/m-OOD,464,0.8196,0.4933
uniform_motion_s42_af_fr,分区,v-OOD,841,0.5468,0.8076
uniform_motion_s42_af_fr,分区,both-OOD,1189,0.6512,0.8456
uniform_motion_s42_af_fr,步长,h=1,100,0.9934,0.0173
uniform_motion_s42_af_fr,步长,h=2,100,0.9875,0.0318
uniform_motion_s42_af_fr,步长,h=4,100,0.9735,0.0658
uniform_motion_s42_af_fr,步长,h=8,100,0.9293,0.1751
uniform_motion_s42_af_fr,步长,h=16,100,0.6785,0.698
uniform_motion_s42_af_fr,步长,h=28,100,0.318,1.5775
uniform_motion_s42_af_fr_control_e5,分区,ID,406,0.9134,0.1647
uniform_motion_s42_af_fr_control_e5,分区,r/m-OOD,464,0.8228,0.4789
uniform_motion_s42_af_fr_control_e5,分区,v-OOD,841,0.5448,0.782
uniform_motion_s42_af_fr_control_e5,分区,both-OOD,1189,0.668,0.7873
uniform_motion_s42_af_fr_control_e5,步长,h=1,100,0.9942,0.016
uniform_motion_s42_af_fr_control_e5,步长,h=2,100,0.989,0.0287
uniform_motion_s42_af_fr_control_e5,步长,h=4,100,0.9757,0.0607
uniform_motion_s42_af_fr_control_e5,步长,h=8,100,0.9311,0.1696
uniform_motion_s42_af_fr_control_e5,步长,h=16,100,0.6797,0.6691
uniform_motion_s42_af_fr_control_e5,步长,h=28,100,0.3464,1.4958
uniform_motion_s42_af_fr_gate_t3,分区,ID,406,0.9096,0.1654
uniform_motion_s42_af_fr_gate_t3,分区,r/m-OOD,464,0.8196,0.4933
uniform_motion_s42_af_fr_gate_t3,分区,v-OOD,841,0.5468,0.8076
uniform_motion_s42_af_fr_gate_t3,分区,both-OOD,1189,0.6512,0.8454
uniform_motion_s42_af_fr_gate_t3,步长,h=1,100,0.9934,0.0173
uniform_motion_s42_af_fr_gate_t3,步长,h=2,100,0.9875,0.0318
uniform_motion_s42_af_fr_gate_t3,步长,h=4,100,0.9735,0.0658
uniform_motion_s42_af_fr_gate_t3,步长,h=8,100,0.9293,0.1751
uniform_motion_s42_af_fr_gate_t3,步长,h=16,100,0.6785,0.6978
uniform_motion_s42_af_fr_gate_t3,步长,h=28,100,0.318,1.5775
uniform_motion_s42_af_fr_hgate_s12,分区,ID,406,0.917,0.1614
uniform_motion_s42_af_fr_hgate_s12,分区,r/m-OOD,464,0.8106,0.5397
uniform_motion_s42_af_fr_hgate_s12,分区,v-OOD,841,0.5338,0.8842
uniform_motion_s42_af_fr_hgate_s12,分区,both-OOD,1189,0.6458,0.8975
uniform_motion_s42_af_fr_hgate_s12,步长,h=1,100,0.9934,0.0173
uniform_motion_s42_af_fr_hgate_s12,步长,h=2,100,0.9875,0.0318
uniform_motion_s42_af_fr_hgate_s12,步长,h=4,100,0.9735,0.0658
uniform_motion_s42_af_fr_hgate_s12,步长,h=8,100,0.9293,0.175
uniform_motion_s42_af_fr_hgate_s12,步长,h=16,100,0.6801,0.6946
uniform_motion_s42_af_fr_hgate_s12,步长,h=28,100,0.2815,1.9491
uniform_motion_s42_af_fr_shadow075_e5,分区,ID,406,0.8965,0.1927
uniform_motion_s42_af_fr_shadow075_e5,分区,r/m-OOD,464,0.812,0.5052
uniform_motion_s42_af_fr_shadow075_e5,分区,v-OOD,841,0.5535,0.749
uniform_motion_s42_af_fr_shadow075_e5,分区,both-OOD,1189,0.6576,0.7842
uniform_motion_s42_af_fr_shadow075_e5,步长,h=1,100,0.9933,0.0173
uniform_motion_s42_af_fr_shadow075_e5,步长,h=2,100,0.9826,0.045
uniform_motion_s42_af_fr_shadow075_e5,步长,h=4,100,0.9667,0.0855
uniform_motion_s42_af_fr_shadow075_e5,步长,h=8,100,0.9185,0.2004
uniform_motion_s42_af_fr_shadow075_e5,步长,h=16,100,0.6626,0.6923
uniform_motion_s42_af_fr_shadow075_e5,步长,h=28,100,0.373,1.3754
uniform_motion_s42_af_fr_shadow_a050,分区,ID,406,0.9127,0.1681
uniform_motion_s42_af_fr_shadow_a050,分区,r/m-OOD,464,0.8119,0.5021
uniform_motion_s42_af_fr_shadow_a050,分区,v-OOD,841,0.554,0.8
uniform_motion_s42_af_fr_shadow_a050,分区,both-OOD,1189,0.6548,0.815
uniform_motion_s42_af_fr_shadow_a050,步长,h=1,100,0.9934,0.0173
uniform_motion_s42_af_fr_shadow_a050,步长,h=2,100,0.987,0.033
uniform_motion_s42_af_fr_shadow_a050,步长,h=4,100,0.9724,0.0684
uniform_motion_s42_af_fr_shadow_a050,步长,h=8,100,0.926,0.1801
uniform_motion_s42_af_fr_shadow_a050,步长,h=16,100,0.6785,0.6697
uniform_motion_s42_af_fr_shadow_a050,步长,h=28,100,0.3208,1.6131
uniform_motion_s42_af_fr_shadow_a065,分区,ID,406,0.8972,0.1988
uniform_motion_s42_af_fr_shadow_a065,分区,r/m-OOD,464,0.8075,0.5139
uniform_motion_s42_af_fr_shadow_a065,分区,v-OOD,841,0.5594,0.7865
uniform_motion_s42_af_fr_shadow_a065,分区,both-OOD,1189,0.6542,0.7922
uniform_motion_s42_af_fr_shadow_a065,步长,h=1,100,0.9934,0.0173
uniform_motion_s42_af_fr_shadow_a065,步长,h=2,100,0.9866,0.0339
uniform_motion_s42_af_fr_shadow_a065,步长,h=4,100,0.9713,0.0713
uniform_motion_s42_af_fr_shadow_a065,步长,h=8,100,0.9224,0.1883
uniform_motion_s42_af_fr_shadow_a065,步长,h=16,100,0.6754,0.6655
uniform_motion_s42_af_fr_shadow_a065,步长,h=28,100,0.3177,1.6066
uniform_motion_s42_af_fr_shadow_a075,分区,ID,406,0.8792,0.2191
uniform_motion_s42_af_fr_shadow_a075,分区,r/m-OOD,464,0.8,0.5344
uniform_motion_s42_af_fr_shadow_a075,分区,v-OOD,841,0.5636,0.7712
uniform_motion_s42_af_fr_shadow_a075,分区,both-OOD,1189,0.6535,0.7642
uniform_motion_s42_af_fr_shadow_a075,步长,h=1,100,0.9934,0.0173
uniform_motion_s42_af_fr_shadow_a075,步长,h=2,100,0.9864,0.0347
uniform_motion_s42_af_fr_shadow_a075,步长,h=4,100,0.9702,0.0742
uniform_motion_s42_af_fr_shadow_a075,步长,h=8,100,0.9184,0.1978
uniform_motion_s42_af_fr_shadow_a075,步长,h=16,100,0.671,0.6699
uniform_motion_s42_af_fr_shadow_a075,步长,h=28,100,0.3187,1.555
uniform_motion_s42_af_fr_shadow_a100,分区,ID,406,0.7905,0.3588
uniform_motion_s42_af_fr_shadow_a100,分区,r/m-OOD,464,0.6939,0.7428
uniform_motion_s42_af_fr_shadow_a100,分区,v-OOD,841,0.5565,0.8093
uniform_motion_s42_af_fr_shadow_a100,分区,both-OOD,1189,0.6566,0.7688
uniform_motion_s42_af_fr_shadow_a100,步长,h=1,100,0.9934,0.0173
uniform_motion_s42_af_fr_shadow_a100,步长,h=2,100,0.9854,0.0369
uniform_motion_s42_af_fr_shadow_a100,步长,h=4,100,0.9656,0.0859
uniform_motion_s42_af_fr_shadow_a100,步长,h=8,100,0.8962,0.2497
uniform_motion_s42_af_fr_shadow_a100,步长,h=16,100,0.6183,0.7749
uniform_motion_s42_af_fr_shadow_a100,步长,h=28,100,0.2875,1.6642
uniform_motion_s42_af_fr_zs_a025,分区,ID,406,0.9125,0.1605
uniform_motion_s42_af_fr_zs_a025,分区,r/m-OOD,464,0.8166,0.4966
uniform_motion_s42_af_fr_zs_a025,分区,v-OOD,841,0.5483,0.8079
uniform_motion_s42_af_fr_zs_a025,分区,both-OOD,1189,0.6533,0.836
uniform_motion_s42_af_fr_zs_a025,步长,h=1,100,0.9932,0.0177
uniform_motion_s42_af_fr_zs_a025,步长,h=2,100,0.9874,0.0321
uniform_motion_s42_af_fr_zs_a025,步长,h=4,100,0.9733,0.0662
uniform_motion_s42_af_fr_zs_a025,步长,h=8,100,0.9286,0.1751
uniform_motion_s42_af_fr_zs_a025,步长,h=16,100,0.6796,0.6844
uniform_motion_s42_af_fr_zs_a025,步长,h=28,100,0.315,1.6049
uniform_motion_s42_af_fr_zs_a050,分区,ID,406,0.9125,0.1682
uniform_motion_s42_af_fr_zs_a050,分区,r/m-OOD,464,0.8114,0.503
uniform_motion_s42_af_fr_zs_a050,分区,v-OOD,841,0.5529,0.8008
uniform_motion_s42_af_fr_zs_a050,分区,both-OOD,1189,0.6543,0.8158
uniform_motion_s42_af_fr_zs_a050,步长,h=1,100,0.9927,0.0189
uniform_motion_s42_af_fr_zs_a050,步长,h=2,100,0.9867,0.0336
uniform_motion_s42_af_fr_zs_a050,步长,h=4,100,0.9722,0.069
uniform_motion_s42_af_fr_zs_a050,步长,h=8,100,0.9258,0.1804
uniform_motion_s42_af_fr_zs_a050,步长,h=16,100,0.6785,0.6696
uniform_motion_s42_af_fr_zs_a050,步长,h=28,100,0.3184,1.6162
uniform_motion_s42_af_fr_zs_a100,分区,ID,406,0.786,0.3666
uniform_motion_s42_af_fr_zs_a100,分区,r/m-OOD,464,0.6868,0.7656
uniform_motion_s42_af_fr_zs_a100,分区,v-OOD,841,0.5496,0.828
uniform_motion_s42_af_fr_zs_a100,分区,both-OOD,1189,0.6473,0.7938
uniform_motion_s42_af_fr_zs_a100,步长,h=1,100,0.9906,0.0238
uniform_motion_s42_af_fr_zs_a100,步长,h=2,100,0.9828,0.0431
uniform_motion_s42_af_fr_zs_a100,步长,h=4,100,0.9624,0.0933
uniform_motion_s42_af_fr_zs_a100,步长,h=8,100,0.8923,0.2589
uniform_motion_s42_af_fr_zs_a100,步长,h=16,100,0.6146,0.7889
uniform_motion_s42_af_fr_zs_a100,步长,h=28,100,0.2683,1.716
